site_id,site_name,n_seeds_ran,n_seeds_feasible,hv_mean,hv_std,hv_cv,pareto_size_mean,pareto_size_cv,knee_x_std,knee_y_std,knee_F1_cv,cluster_coverage,models_used,reference_point,note
gongdeok_256_42,마포구 공덕동 256-42,4.0,4,8818.792297452608,2763.7565907549997,0.3133939997150559,30.0,0.23213980461973532,5.529373542063887,11.343404692006198,0.16211202234972596,1.0,['Potain_MR_160C'],"[1046.5644183269023, 169.54045696584132]",
synthetic_a_rectangular,합성 A · 직사각 협소대지 (한쪽 도로),4.0,4,1321.5755882585706,515.3021201159445,0.3899149807957287,15.25,0.21932931410261725,1.2603434600542316,0.5937258865509942,0.022331318250921047,0.0,['Potain_MR_160C'],"[614.6828357439368, 139.92472413817478]",
synthetic_b_corner,합성 B · L자 코너 협소대지,4.0,4,3467.1063179018615,2217.265476156433,0.6395147055940943,9.75,0.8120557754929804,3.7664612840342393,3.207736457793592,0.07151453855463083,0.0,"['Liebherr_280_HC_L', 'Potain_MR_160C']","[743.7838050009137, 138.5368035949167]",
synthetic_c_enclosed,합성 C · 도로점용 불가 협소대지,,0,,,,,,,,,,,,INFEASIBLE
